parameter,factor,max_THM_settlement_mm,change_from_base_mm
thermal amplitude,0.75,15.456732216280638,-1.3128449256933123
thermal amplitude,1.25,18.085906735062437,1.3163295930884864
head stiffness,0.6,16.895384000718032,0.12580685874408104
head stiffness,1.6,16.630658465438653,-0.13891867653529744
vertical stiffness,0.7,21.714632087028896,4.945054945054945
vertical stiffness,1.3,14.106855248482825,-2.662721893491126
service load,0.75,13.891666517642623,-2.877910624331328
service load,1.25,19.649956743043212,2.8803796010692615
thermal pressurization coefficient,0.6,15.056831493382,-1.7127456485919499
thermal pressurization coefficient,1.6,19.345192474985957,2.5756153330120064
soil compressibility,0.6,15.056831493381997,-1.7127456485919534
soil compressibility,1.6,19.34519247498596,2.57561533301201
consolidation coefficient,0.3,14.10095218737434,-2.6686249545996112
consolidation coefficient,3.0,20.952483883767197,4.182906741793246
